command	parse_status	parse_error	file_ops_count	command_type	dangerous
bd list --label scoped-bash-command-execution	SUCCESS		0	:simple	
bd list --label scoped-bash-command-execution --status open	SUCCESS		0	:simple	
bd show emacs-ags emacs-1n7 emacs-blx emacs-eii emacs-crn emacs-ckg emacs-rqp emacs-dw4 emacs-48j emacs-s75 | grep -E "(^ID|^Status)"	SUCCESS		0	:pipeline	
for bead in emacs-ags emacs-1n7 emacs-blx emacs-eii emacs-crn emacs-ckg emacs-rqp emacs-dw4 emacs-48j emacs-s75; do echo "=== $bead ==="; bd show "$bead" 2>/dev/null | head -5; done	SUCCESS		1	:pipeline	
bd close emacs-1n7 --comment "Key normalization added to scope-core YAML parser - commit 425b6c5" && bd close emacs-blx --comment "Review complete - created 9 new beads for identified issues" && bd close emacs-ckg --comment "Review complete - created 5 new beads for identified issues"	SUCCESS		0	:chain	
bd close emacs-1n7 --reason "Key normalization added to scope-core - commit 425b6c5" && bd close emacs-blx --reason "Review complete - created 9 new beads" && bd close emacs-ckg --reason "Review complete - created 5 new beads"	SUCCESS		0	:chain	
openspec list --json	SUCCESS		0	:simple	
openspec status --change "gptel-preset-refactor" --json	SUCCESS		0	:simple	
openspec instructions design --change "gptel-preset-refactor" --json	SUCCESS		0	:simple	
openspec status --change "gptel-preset-refactor"	SUCCESS		0	:simple	
openspec list --json	SUCCESS		0	:simple	
for change in scoped-bash-command-execution gptel-preset-upstream-alignment gptel-preset-refactor; do\n  echo "=== $change ==="\n  if [ -d "openspec/changes/$change/specs" ]; then\n    find "openspec/changes/$change/specs" -name "spec.md" -type f | sed 's|^openspec/changes/[^/]*/specs/||' || echo "  (no spec.md files)"\n  else\n    echo "  (no specs directory)"\n  fi\ndone	SUCCESS		1	:pipeline	
ls -la openspec/specs/preset-registration/spec.md openspec/specs/scope-profiles/spec.md 2>&1	SUCCESS		0	:simple	
ls -la openspec/specs/	SUCCESS		0	:simple	
mkdir -p openspec/specs/preset-registration openspec/specs/scope-profiles	SUCCESS		2	:simple	
ls -la openspec/specs/gptel/	SUCCESS		0	:simple	
head -30 openspec/specs/gptel/scope-presets.md	SUCCESS		1	:simple	
