# Pattern: combined
# Description: Commands with 2+ semantic gap types (complex patterns)
# Total commands: 68
# Coverage range: 0.0% - 100.0%
# Average coverage: 56.2%
# Average gap count: 2.0
#
# Commands sorted by coverage_pct (ascending) to prioritize gaps
#
command	parse_status	coverage_pct	missing_count	file_ops_count	command_type	dangerous	missing_tokens	semantic_gap_count	critical_gaps	gap_types
bd create \\n  --title "Command Injection Pattern Detection" \\n  --external-ref "opsx:bash-parser-file-ops:5.1" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "command-injection" \\n  --description "$(cat <<'EOF'\nDetect command execution patterns (bash -c, python -c, sh -c, env -S).\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (extend parser section)\n\nImplementation steps:\n1. Extend parser or create new section "Command Injection Detection"\n2. Define command injection patterns in semantics database:\n   - bash: -c flag, nested command at next arg\n   - sh: -c flag, nested command at next arg\n   - python: -c flag, nested command at next arg\n   - env: -S flag, nested command at next arg\n3. Implement `jf/bash-detect-command-injection` function\n4. Check command name and flags for injection patterns\n5. Extract nested command string from appropriate argument position\n6. Mark parsed command with:\n   - :command-injection t\n   - :nested-command-string "..."\n7. Handle flags before -c (e.g., "bash -x -e -c 'cmd'")\n\nDesign rationale:\nCommand injection is security-critical - attackers use bash -c to bypass static analysis. Pattern detection enables recursive validation. Common patterns (bash -c, python -c, sh -c) cover 95% of injection vectors. Flag detection handles various flag orderings. Metadata enables downstream recursive parsing and marking.\n\nDesign pattern:\n```elisp\n(defvar jf/bash-command-injection-patterns\n  '((bash . (:flags ("-c") :arg-after-flag t))\n    (sh . (:flags ("-c") :arg-after-flag t))\n    (python . (:flags ("-c") :arg-after-flag t))\n    (env . (:flags ("-S") :arg-after-flag t))))\n\n(defun jf/bash-detect-command-injection (parsed-command)\n  "Detect command injection patterns. Return nested-command-string or nil."\n  (let* ((cmd-name (plist-get parsed-command :command))\n         (flags (plist-get parsed-command :flags))\n         (args (plist-get parsed-command :positional-args))\n         (pattern (alist-get (intern cmd-name) jf/bash-command-injection-patterns)))\n    (when (and pattern\n               (cl-intersection (plist-get pattern :flags) flags :test #'string=))\n      ;; Find arg after -c flag\n      (let ((flag-idx (cl-position "-c" flags :test #'string=)))\n        (when flag-idx\n          (nth 0 args))))))  ; First positional arg after flags\n```\n\nVerification:\n- "bash -c 'rm file.txt'" → detects injection, extracts 'rm file.txt'\n- "python -c 'import os; os.remove(file)'" → detects injection\n- "bash -x -e -c 'cmd'" → detects injection despite preceding flags\n- "bash script.sh" → no injection detected\n- Test all injection detection scenarios from bash-parser/spec.md\n\nContext: design.md § "Decision 8: Command Injection Detection"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Command Injection Pattern Detection, --external-ref, opsx:bash-parser-file-ops:5.1, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Command Semantics Database" \\n  --external-ref "opsx:bash-parser-file-ops" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "foundation" \\n  --description "$(cat <<'EOF'\nImplement command-to-file-operation mapping database for 20+ core bash commands.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "Command Semantics Database"\n2. Define `jf/bash-command-file-semantics` alist structure\n3. Add semantics for 20+ core commands:\n   - Read operations: cat, head, tail, less, grep, wc, find\n   - Write operations: touch, tee, echo (via redirections)\n   - Delete operations: rm, rmdir\n   - Modify operations: sed -i, chmod, chown\n   - Multi-operation: cp (read source, write dest), mv (delete source, write dest)\n   - Subcommands: git (add=read, checkout=modify, rm=delete)\n4. Implement `jf/bash-lookup-command-semantics` lookup function\n5. Handle special cases:\n   - Flag-dependent behavior (sed with/without -i)\n   - Subcommand handlers (git add vs git checkout)\n   - Index patterns (0-to-N-2 for cp sources, -1 for dest)\n   - Skip rules (grep pattern arg at index 0)\n\nDesign rationale:\nAlist provides fast lookup via `alist-get` with command symbol as key. Plist structure is idiomatic Emacs Lisp and extensible. Operations defined declaratively with :source, :operation, :indices keys. Complex commands use :subcommand-handlers for different behaviors per subcommand. This separates data (command patterns) from logic (extraction algorithm).\n\nDesign pattern:\n```elisp\n(defvar jf/bash-command-file-semantics\n  '((cat :operations ((:source :positional-args :operation :read)))\n    (cp :operations ((:source :positional-args :indices (0 . -2) :operation :read)\n                     (:source :positional-args :index -1 :operation :write)))\n    (git :operations :complex\n         :subcommand-handlers ((add :operations ((:source :positional-args :operation :read)))\n                              (checkout :operations ((:source :positional-args :operation :modify)))))))\n\n(defun jf/bash-lookup-command-semantics (command-name)\n  "Look up file operation semantics for COMMAND-NAME."\n  (alist-get (intern command-name) jf/bash-command-file-semantics))\n```\n\nVerification:\n- Lookup returns correct semantics for all 20+ commands\n- Multi-operation commands (cp, mv) return multiple operation specs\n- Subcommand commands (git) return :complex with handlers\n- Unknown commands return nil\n- Test with scenarios from bash-command-semantics/spec.md\n\nContext: design.md § "Decision 1: Command Semantics Database Structure"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Command Semantics Database, --external-ref, opsx:bash-parser-file-ops, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Command Semantics Tests" \\n  --external-ref "opsx:bash-parser-file-ops:6.1" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "testing" \\n  --description "$(cat <<'EOF'\nCreate comprehensive ERT tests for command semantics database lookup.\n\nFiles to create:\n- config/experiments/bash-parser/test/test-command-semantics.el\n\nImplementation steps:\n1. Create test file with ERT setup and require statements\n2. Implement tests for each semantics scenario from spec:\n   - Lookup simple read command (cat)\n   - Lookup commands with skip rules (grep)\n   - Lookup unknown commands (return nil)\n   - Multi-operation commands (cp: read sources + write dest)\n   - Subcommand-specific semantics (git add vs git checkout)\n   - Flag-dependent behavior (sed with/without -i)\n   - Operation type classification (read/write/delete/modify)\n   - Core command coverage (20+ commands)\n   - Positional argument indexing (single, -1, ranges)\n3. Use naming convention: test-semantics-<scenario-slug>\n4. Include spec reference in docstring\n\nDesign rationale:\nTests verify that semantics database is complete and correct. One test per scenario ensures full spec coverage. Testing lookup function independently (unit tests) enables quick debugging without running full extraction. Spec references provide traceability from test failure to requirement.\n\nDesign pattern:\n```elisp\n(require 'ert)\n(require 'bash-parser)  ; Load the module\n\n(ert-deftest test-semantics-lookup-simple-read-command ()\n  "Scenario: bash-command-semantics § 'Lookup simple read command'"\n  (let ((result (jf/bash-lookup-command-semantics "cat")))\n    (should result)\n    (let ((ops (plist-get result :operations)))\n      (should (= (length ops) 1))\n      (should (eq (plist-get (car ops) :operation) :read))\n      (should (eq (plist-get (car ops) :source) :positional-args)))))\n\n(ert-deftest test-semantics-multi-operation-cp ()\n  "Scenario: bash-command-semantics § 'Copy command with read and write operations'"\n  (let* ((result (jf/bash-lookup-command-semantics "cp"))\n         (ops (plist-get result :operations)))\n    (should (= (length ops) 2))\n    ;; First op: read sources\n    (should (eq (plist-get (nth 0 ops) :operation) :read))\n    ;; Second op: write destination\n    (should (eq (plist-get (nth 1 ops) :operation) :write))))\n```\n\nVerification:\n- All test-semantics-* tests pass via (ert "^test-semantics-")\n- Coverage for all scenarios in bash-command-semantics/spec.md\n- Tests can run independently (unit tests, no integration)\n\nContext: architecture.md § "Testing Approach" + specs/bash-command-semantics/spec.md\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Command Semantics Tests, --external-ref, opsx:bash-parser-file-ops:6.1, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "CRITICAL: Allow-once mechanism broken for bash tools - resource format mismatch" \\n  --type bug \\n  --priority P0 \\n  --label scoped-bash-command-execution \\n  --label bash-tools \\n  --label allow-once \\n  --label critical \\n  --description "$(cat <<'EOF'\n## Problem\n\nThree-way resource format mismatch prevents allow-once mechanism from working for bash tools.\n\n## Current State (scope-core.el)\n\n**Line 318 (allow-once resource construction):**\n```elisp\n('bash (format "%s:%s" (car args) (expand-file-name (cadr args))))\n```\nConstructs composite: `"ls:/Users/jefffarr/emacs"`\n\n**Command denial errors (lines 590, 611, 622):**\n```elisp\n:resource command-full  ; Returns: "ls -la"\n```\n\n**Directory denial errors (lines 638, 654, 669):**\n```elisp\n:resource real-directory  ; Returns: "/Users/jefffarr/emacs"\n```\n\n## Impact\n\nAllow-once approval never works:\n1. User approves command denial → allow-once list: `("run_bash_command" . "ls -la")`\n2. Next check constructs: `"ls:/tmp"`\n3. Comparison: `"ls -la"` ≠ `"ls:/tmp"` → **FAILS**\n\nSame failure for directory denials.\n\n## Related Beads\n\n- emacs-gc96: Claimed to fix this but code unchanged\n- emacs-cjp3: Identified as CRITICAL, closed without visible fix\n- emacs-ofz: Reviewed mechanism, didn't catch mismatch\n\n## Solution Options\n\n**Option 1:** Make validators return composite format\n```elisp\n:resource (format "%s:%s" command-full real-directory)\n```\n\n**Option 2:** Make line 318 match validator returns\n```elisp\n('bash\n  (let ((reason (plist-get check-result :reason)))\n    (cond\n     ((member reason '("denied-command" "command-not-allowed" "dangerous-command"))\n      (car args))  ; Just command\n     ((member reason '("denied-path" "directory-not-in-scope"))\n      (expand-file-name (cadr args)))  ; Just directory\n     (t (format "%s:%s" (car args) (expand-file-name (cadr args)))))))\n```\n\n## Files\n\n- /Users/jefffarr/emacs/config/gptel/scope/scope-core.el (lines 318, 590-670)\nEOF\n)"	SUCCESS	0.0	18	0	:simple		bd, create, --title, CRITICAL: Allow-once mechanism broken for bash tools - resource format mismatch, --type, bug, --priority, P0, --label, scoped-bash-command-execution	2	1	command-substitution, heredoc
bd create \\n  --title "Extraction from Exec Blocks" \\n  --external-ref "opsx:bash-parser-file-ops:2.3" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "extraction" \\n  --description "$(cat <<'EOF'\nExtract file operations from find -exec blocks by recursive extraction.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "File Operations Extraction - Exec Blocks"\n2. Implement `jf/bash-extract-operations-from-exec-blocks` function\n3. Extract `:exec-blocks` field from parsed find command\n4. For each exec block:\n   - Extract the nested command structure\n   - Recursively extract operations from nested command\n   - Mark operations with exec block metadata\n5. Handle multiple -exec blocks in single find command\n6. Combine find's directory operations (:read-directory) with exec operations\n\nDesign rationale:\nParser already extracts exec blocks as structured data. Treat each exec block as separate command and recursively extract operations. This reuses extraction logic for nested commands. Find operations (directory traversal) + exec operations (actions on matched files) both contribute to total file operations.\n\nDesign pattern:\n```elisp\n(defun jf/bash-extract-operations-from-exec-blocks (parsed-command)\n  "Extract file operations from find -exec blocks recursively."\n  (let ((exec-blocks (plist-get parsed-command :exec-blocks))\n        (operations nil))\n    (dolist (exec-block exec-blocks)\n      (let* ((exec-command (plist-get exec-block :command))\n             ;; Recursively extract from nested command\n             (exec-ops (jf/bash-extract-operations-from-positional-args exec-command)))\n        (dolist (op exec-ops)\n          (push (plist-put op :exec-block t) operations))))\n    (nreverse operations)))\n```\n\nVerification:\n- "find . -name '*.log' -exec rm {} \;" extracts:\n  - (:file "." :operation :read-directory) from find\n  - (:file "{}" :operation :delete :exec-block t) from rm\n- "find /tmp -exec cat {} \; -exec rm {} \;" handles multiple exec blocks\n- Test exec block scenarios from bash-file-operations/spec.md\n\nContext: design.md § "Decision 2: File Operation Extraction Architecture"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Extraction from Exec Blocks, --external-ref, opsx:bash-parser-file-ops:2.3, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Extraction from Positional Arguments" \\n  --external-ref "opsx:bash-parser-file-ops:2.2" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "extraction" \\n  --description "$(cat <<'EOF'\nExtract file operations from positional arguments using command semantics.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "File Operations Extraction - Positional Arguments"\n2. Implement `jf/bash-extract-operations-from-positional-args` function\n3. Lookup command semantics from database\n4. Handle index patterns:\n   - Single index (0 = first arg)\n   - Negative index (-1 = last arg)\n   - Range patterns (0-to-N-2 = all but last)\n5. Apply skip rules (grep: skip pattern at index 0)\n6. Handle multi-operation commands (cp: read sources + write dest)\n7. Return operation plists with :file, :operation, :confidence :high, :source :positional-arg\n\nDesign rationale:\nSemantics database tells us which args are files and what operations they represent. Index patterns handle commands like cp where first N-1 args are read, last arg is written. Skip rules handle commands like grep where first arg is pattern, rest are files. High confidence because semantics are explicit per command.\n\nDesign pattern:\n```elisp\n(defun jf/bash-extract-operations-from-positional-args (parsed-command)\n  "Extract file operations from positional args using command semantics."\n  (let* ((command (plist-get parsed-command :command))\n         (args (plist-get parsed-command :positional-args))\n         (semantics (jf/bash-lookup-command-semantics command))\n         (operations nil))\n    (when semantics\n      (dolist (op-spec (plist-get semantics :operations))\n        (let ((indices (jf/bash--resolve-indices op-spec args))\n              (operation (plist-get op-spec :operation)))\n          (dolist (idx indices)\n            (let ((file (nth idx args)))\n              (push (list :file file\n                         :operation operation\n                         :confidence :high\n                         :source :positional-arg\n                         :command command)\n                    operations))))))\n    (nreverse operations)))\n```\n\nVerification:\n- "cat /workspace/foo.txt" extracts (:file "/workspace/foo.txt" :operation :read)\n- "cp src.txt dest.txt" extracts TWO operations: src.txt :read, dest.txt :write\n- "grep pattern file.txt" extracts only file.txt (skips pattern arg)\n- "rm file1.txt file2.txt" extracts both files with :delete operation\n- Unknown commands return empty list\n- Test all positional arg scenarios from bash-file-operations/spec.md\n\nContext: design.md § "Decision 2: File Operation Extraction Architecture"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Extraction from Positional Arguments, --external-ref, opsx:bash-parser-file-ops:2.2, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Extraction from Redirections" \\n  --external-ref "opsx:bash-parser-file-ops:2.1" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "extraction" \\n  --description "$(cat <<'EOF'\nExtract file operations from redirection operators with high confidence.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "File Operations Extraction - Redirections"\n2. Implement `jf/bash-extract-operations-from-redirections` function\n3. Handle all redirection types from parsed `:redirections` field:\n   - ">" → :write operation\n   - ">>" → :append operation\n   - "<" → :read operation\n   - "2>" → :write operation (stderr)\n   - "&>" → :write operation (stdout+stderr)\n4. Extract target path from redirection\n5. Return operation plists with:\n   - :file (target path)\n   - :operation (:read, :write, :append)\n   - :confidence :high (redirections are unambiguous)\n   - :source :redirection\n   - :metadata (original redirection data)\n\nDesign rationale:\nRedirections are grammar-level constructs, always high confidence. The parser already extracts them into :redirections field, we just map operators to operation types. No semantic ambiguity - ">" always writes, "<" always reads. This is the most reliable source of file operations.\n\nDesign pattern:\n```elisp\n(defun jf/bash-extract-operations-from-redirections (parsed-command)\n  "Extract file operations from :redirections field with high confidence."\n  (let ((redirections (plist-get parsed-command :redirections))\n        (operations nil))\n    (dolist (redir redirections)\n      (let* ((type (plist-get redir :type))\n             (target (plist-get redir :target))\n             (operation (pcase type\n                         (:output :write)\n                         (:append :append)\n                         (:input :read)\n                         (:error :write)\n                         (:both :write))))\n        (push (list :file target\n                    :operation operation\n                    :confidence :high\n                    :source :redirection\n                    :metadata redir)\n              operations)))\n    (nreverse operations)))\n```\n\nVerification:\n- "echo test > output.txt" extracts (:file "output.txt" :operation :write :confidence :high)\n- "cat < input.txt" extracts (:file "input.txt" :operation :read :confidence :high)\n- "cmd >> log.txt" extracts (:file "log.txt" :operation :append :confidence :high)\n- "cmd 2> err.txt" extracts (:file "err.txt" :operation :write :confidence :high)\n- Test with all redirection scenarios from bash-file-operations/spec.md\n\nContext: design.md § "Decision 2: File Operation Extraction Architecture"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Extraction from Redirections, --external-ref, opsx:bash-parser-file-ops:2.1, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "File Operations Extraction Tests" \\n  --external-ref "opsx:bash-parser-file-ops:6.2" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "testing" \\n  --description "$(cat <<'EOF'\nCreate comprehensive ERT tests for file operations extraction.\n\nFiles to create:\n- config/experiments/bash-parser/test/test-file-operations.el\n\nImplementation steps:\n1. Create test file with ERT setup\n2. Implement tests for each extraction scenario from spec:\n   - Simple read command (cat /workspace/foo.txt)\n   - Commands with multiple file arguments (cp src dest)\n   - Commands with no file operations (echo hello)\n   - Extraction from redirections (>, >>, <, 2>)\n   - Extraction from find -exec blocks\n   - Multi-command constructs (pipelines, chains)\n   - Confidence level classification\n   - Operation metadata (source, command, context)\n   - Deduplication of operations\n   - Glob patterns in arguments (preserved, not expanded)\n   - Relative and absolute paths\n   - Variable references (detection, resolution, tracking)\n   - Variable assignments in chains\n   - Unresolved variable handling\n3. Use naming convention: test-extraction-* or test-variable-*\n4. Include spec reference in docstring\n\nDesign rationale:\nExtraction is core functionality - comprehensive tests critical. Test all sources (redirections, positional args, exec blocks) independently and combined. Variable handling tests verify Phase 1 variable support. Tests use parsed commands as input (depends on parser but tests extraction logic).\n\nDesign pattern:\n```elisp\n(ert-deftest test-extraction-simple-read-command ()\n  "Scenario: bash-file-operations § 'Simple read command'"\n  (let* ((parsed (jf/bash-parse "cat /workspace/foo.txt"))\n         (ops (jf/bash-extract-file-operations parsed)))\n    (should (= (length ops) 1))\n    (should (equal (plist-get (car ops) :file) "/workspace/foo.txt"))\n    (should (eq (plist-get (car ops) :operation) :read))\n    (should (eq (plist-get (car ops) :confidence) :high))\n    (should (eq (plist-get (car ops) :source) :positional-arg))))\n\n(ert-deftest test-variable-resolve-declared-variable ()\n  "Scenario: bash-file-operations § 'Resolve declared variable'"\n  (let* ((parsed (jf/bash-parse "cat $WORKSPACE/file.txt"))\n         (context '((WORKSPACE . "/workspace")))\n         (ops (jf/bash-extract-file-operations parsed context)))\n    (should (equal (plist-get (car ops) :file) "/workspace/file.txt"))))\n```\n\nVerification:\n- All test-extraction-* and test-variable-* tests pass\n- Coverage for all scenarios in bash-file-operations/spec.md\n- Tests verify extraction from all sources and variable handling\n\nContext: architecture.md § "Testing Approach" + specs/bash-file-operations/spec.md\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, File Operations Extraction Tests, --external-ref, opsx:bash-parser-file-ops:6.2, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Glob Pattern Matcher - Core Algorithm" \\n  --external-ref "opsx:bash-parser-file-ops:1.2" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "foundation" \\n  --description "$(cat <<'EOF'\nImplement segment-based glob pattern matching without filesystem access.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "Glob Pattern Matching"\n2. Implement path/pattern segmentation (split by "/" separator)\n3. Implement glob-to-regex conversion:\n   - "*" → ".*" (match any chars within segment, not crossing /)\n   - "**" → special handling (matches 0-N complete segments)\n   - "?" → "." (single character)\n   - "[abc]" → "[abc]" (character class preserved)\n   - Escape regex special chars in literals\n4. Implement segment matching algorithm:\n   - Match segments one-by-one\n   - "**" can consume zero or more segments\n   - Single "*" does not cross directory boundaries\n5. Implement `jf/bash-glob-match-p` main function\n\nDesign rationale:\nPort Python's glob.translate() algorithm because it's proven (production use worldwide) and handles ** correctly. Segment-based matching is critical - single * matches within segment only, ** matches across segments. No filesystem access needed - works on paths that don't exist yet (pre-validation). Pure string operations and regex for performance.\n\nDesign pattern:\n```elisp\n(defun jf/bash-glob-match-p (path pattern)\n  "Match PATH against PATTERN using glob semantics. No filesystem access."\n  (let ((path-segments (split-string path "/" t))\n        (pattern-segments (split-string pattern "/" t)))\n    (jf/bash--match-segments path-segments pattern-segments)))\n\n(defun jf/bash--match-segments (path-segs pattern-segs)\n  "Recursively match segments. Handle ** consuming 0-N segments."\n  (cond\n   ((and (null path-segs) (null pattern-segs)) t)\n   ((string= (car pattern-segs) "**")\n    ;; Try matching 0, 1, 2, ... segments\n    (or (jf/bash--match-segments path-segs (cdr pattern-segs))\n        (and path-segs (jf/bash--match-segments (cdr path-segs) pattern-segs))))\n   ((and path-segs pattern-segs)\n    (and (string-match-p (jf/bash--glob-to-regex (car pattern-segs)) (car path-segs))\n         (jf/bash--match-segments (cdr path-segs) (cdr pattern-segs))))\n   (t nil)))\n```\n\nVerification:\n- "/workspace/file.txt" matches "/workspace/*.txt" ✓\n- "/workspace/src/foo.el" matches "/workspace/**/*.el" ✓\n- "/workspace/file.txt" matches "/workspace/**/file.txt" (** = 0 segments) ✓\n- "/tmp/foo.el" does NOT match "/workspace/**/*.el" ✓\n- Test all scenarios from bash-sandbox-security/spec.md glob sections\n\nContext: design.md § "Decision 3: Glob Pattern Matching Algorithm"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Glob Pattern Matcher - Core Algorithm, --external-ref, opsx:bash-parser-file-ops:1.2, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
bd create \\n  --title "Glob Pattern Matcher - Core Algorithm" \\n  --external-ref "opsx:bash-parser-file-ops" \\n  --label "openspec" \\n  --label "bash-parser-file-ops" \\n  --label "foundation" \\n  --description "$(cat <<'EOF'\nImplement segment-based glob pattern matching without filesystem access.\n\nFiles to modify:\n- config/experiments/bash-parser/bash-parser.org (new section)\n\nImplementation steps:\n1. Create new org section "Glob Pattern Matching"\n2. Implement path/pattern segmentation (split by "/" separator)\n3. Implement glob-to-regex conversion:\n   - "*" → ".*" (match any chars within segment, not crossing /)\n   - "**" → special handling (matches 0-N complete segments)\n   - "?" → "." (single character)\n   - "[abc]" → "[abc]" (character class preserved)\n   - Escape regex special chars in literals\n4. Implement segment matching algorithm:\n   - Match segments one-by-one\n   - "**" can consume zero or more segments\n   - Single "*" does not cross directory boundaries\n5. Implement `jf/bash-glob-match-p` main function\n\nDesign rationale:\nPort Python's glob.translate() algorithm because it's proven (production use worldwide) and handles ** correctly. Segment-based matching is critical - single * matches within segment only, ** matches across segments. No filesystem access needed - works on paths that don't exist yet (pre-validation). Pure string operations and regex for performance.\n\nDesign pattern:\n```elisp\n(defun jf/bash-glob-match-p (path pattern)\n  "Match PATH against PATTERN using glob semantics. No filesystem access."\n  (let ((path-segments (split-string path "/" t))\n        (pattern-segments (split-string pattern "/" t)))\n    (jf/bash--match-segments path-segments pattern-segments)))\n\n(defun jf/bash--match-segments (path-segs pattern-segs)\n  "Recursively match segments. Handle ** consuming 0-N segments."\n  (cond\n   ((and (null path-segs) (null pattern-segs)) t)\n   ((string= (car pattern-segs) "**")\n    ;; Try matching 0, 1, 2, ... segments\n    (or (jf/bash--match-segments path-segs (cdr pattern-segs))\n        (and path-segs (jf/bash--match-segments (cdr path-segs) pattern-segs))))\n   ((and path-segs pattern-segs)\n    (and (string-match-p (jf/bash--glob-to-regex (car pattern-segs)) (car path-segs))\n         (jf/bash--match-segments (cdr path-segs) (cdr pattern-segs))))\n   (t nil)))\n```\n\nVerification:\n- "/workspace/file.txt" matches "/workspace/*.txt" ✓\n- "/workspace/src/foo.el" matches "/workspace/**/*.el" ✓\n- "/workspace/file.txt" matches "/workspace/**/file.txt" (** = 0 segments) ✓\n- "/tmp/foo.el" does NOT match "/workspace/**/*.el" ✓\n- Test all scenarios from bash-sandbox-security/spec.md glob sections\n\nContext: design.md § "Decision 3: Glob Pattern Matching Algorithm"\nEOF\n)"	SUCCESS	0.0	14	0	:simple		bd, create, --title, Glob Pattern Matcher - Core Algorithm, --external-ref, opsx:bash-parser-file-ops, --label, openspec, --label, bash-parser-file-ops	2	1	command-substitution, heredoc
